date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
11/9/2021,Alabama,4974840,7456320,2696907,45.16,101.46,2214496,55,152.07,3387,12146,2477,0.667
11/9/2021,Alaska,898205,1219685,439443,53.08,122.78,388302,60.07,166.73,710,2687,3673,0.736
11/9/2021,Arizona,9012914,11145560,4499482,53.6,123.83,3901482,61.82,153.13,11209,22698,3118,0.809
11/9/2021,Arkansas,3332542,4605820,1767997,48.43,110.43,1461655,58.59,152.62,2183,9555,3166,0.724
11/9/2021,California,55671028,65558965,29832369,61.87,140.9,24447383,75.5,165.92,54271,165664,4193,0.849
11/9/2021,Colorado,7967585,9299635,3939283,62.1,138.36,3576239,68.41,161.49,78,24866,4318,0.857
11/9/2021,Connecticut,5581584,6405345,2860150,71.15,156.55,2536633,80.22,179.66,5838,18305,5134,0.871
11/9/2021,Delaware,1348976,1768425,682650,60.48,138.53,588971,70.1,181.61,24536,3623,3721,0.763
11/9/2021,District of Columbia,1102591,1354955,539526,63.16,156.23,445765,76.45,191.99,2824,3527,4998,0.814
11/9/2021,Florida,29210389,36303255,14973862,60.2,136,12929870,69.72,169.03,47646,72404,3371,0.805
11/9/2021,Georgia,11794648,16396995,6107299,48.78,111.09,5178787,57.52,154.43,86488,44639,4204,0.719
11/9/2021,Hawaii,2007776,2676660,1127067,60.13,141.8,851360,79.6,189.05,146,3299,2330,0.75
11/9/2021,Idaho,1778416,2576300,887266,44.37,99.52,792860,49.65,144.16,2150,6322,3538,0.69
11/9/2021,Illinois,16740820,20058495,8429754,61.04,132.11,7734722,66.52,158.29,24267,61943,4888,0.835
11/9/2021,Indiana,7404005,9478320,3651855,50.12,109.98,3374129,54.24,140.79,5462,19174,2848,0.781
11/9/2021,Iowa,3882251,4920995,1903992,55.95,123.05,1765362,60.35,155.97,43526,15758,4995,0.789
11/9/2021,Kansas,3443255,4480155,1848112,53.67,118.19,1563560,63.44,153.78,4423,11634,3993,0.769
11/9/2021,Kentucky,5057650,6626815,2595805,51.16,113.21,2285766,58.1,148.33,5839,17728,3968,0.763
11/9/2021,Louisiana,4967426,6480740,2521458,48.04,106.85,2233184,54.24,139.41,2985,11320,2435,0.766
11/9/2021,Maine,2052027,2468160,1047413,71.17,152.66,956661,77.92,183.61,23912,8706,6477,0.831
11/9/2021,Maryland,8787145,11320030,4441811,66.38,145.35,4013299,73.47,187.24,19133,27269,4510,0.776
11/9/2021,Massachusetts,10770746,12455120,5616316,70.12,156.27,4832962,81.48,180.71,12809,36648,5317,0.865
11/9/2021,Michigan,11836574,15428290,5875001,53.85,118.52,5377840,58.83,154.49,16676,38643,3869,0.767
11/9/2021,Minnesota,7564211,8961860,3722608,61.61,134.13,3474820,66.01,158.91,11686,42523,7540,0.844
11/9/2021,Mississippi,3057408,4234505,1565060,46.19,102.73,1374832,52.59,142.28,26156,11302,3798,0.722
11/9/2021,Missouri,6968902,8731335,3528110,50.15,113.55,3077747,57.49,142.26,30423,19957,3252,0.798
11/9/2021,Montana,1236276,1553115,615166,50.96,115.67,544622,57.56,145.32,10817,4884,4570,0.796
11/9/2021,Nebraska,2413268,2947380,1193201,56.63,124.75,1095373,61.68,152.37,23442,8049,4161,0.819
11/9/2021,Nevada,3737729,4501510,1976584,53.48,121.35,1647401,64.17,146.15,5583,10124,3287,0.83
11/9/2021,New Hampshire,1976488,2438530,1078050,63.37,145.36,861698,79.29,179.34,3859,4920,3618,0.811
11/9/2021,New Jersey,12621584,15716475,6743218,66.79,142.1,5932492,75.92,176.94,88,32878,3702,0.803
11/9/2021,New Mexico,2912035,3391665,1533066,62.57,138.88,1311937,73.11,161.75,5095,10488,5002,0.859
11/9/2021,New York,28147724,33186845,14618489,67.28,144.69,13087967,75.15,170.6,34478,61863,3180,0.848
